tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
863,21:13.6,35:37.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,72,W 52 St & 11 Ave,40.76727216,-73.99392888,19589,Subscriber,1950,1
638,41:08.8,51:46.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,173,Broadway & W 49 St,40.76068327,-73.98452729,19589,Subscriber,1983,1
492,03:29.9,11:42.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,520,W 52 St & 5 Ave,40.75992262,-73.97648516,31125,Subscriber,1992,1
203,28:22.0,31:45.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,478,11 Ave & W 41 St,40.76030096,-73.99884222,26335,Subscriber,1990,1
1061,39:20.6,57:02.4,72,W 52 St & 11 Ave,40.76727216,-73.99392888,453,W 22 St & 8 Ave,40.74475148,-73.99915362,29996,Subscriber,1983,2
1055,39:23.4,56:59.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,453,W 22 St & 8 Ave,40.74475148,-73.99915362,31168,Subscriber,1990,1
225,52:23.9,56:09.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,449,W 52 St & 9 Ave,40.76461837,-73.98789473,18524,Subscriber,1967,1
418,14:02.1,21:00.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3458,W 55 St & 6 Ave,40.76309387,-73.97835016,31932,Subscriber,1968,1
821,21:11.9,34:53.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,492,W 33 St & 7 Ave,40.75019995,-73.99093085,21500,Subscriber,1987,1
567,22:08.3,31:35.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,31785,Subscriber,1969,0
493,52:44.8,00:58.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,26526,Subscriber,1986,1
543,24:46.2,33:49.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,457,Broadway & W 58 St,40.76695317,-73.98169333,30156,Subscriber,1983,1
1022,19:11.2,36:13.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,15076,Subscriber,1956,1
